coscoeff,sincoeff,highest_deg,epsilon,bchoice
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-1.734723475976807e-18,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.0581813203458523e-16,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-3.1762786845135338e-15,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,6.253851603243987e-14,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-9.084503982403902e-13,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.0382663478969434e-11,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-9.722961671898567e-11,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,7.671918274276823e-10,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-5.205691473372798e-9,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,3.085035609438902e-8,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-1.6163814566157175e-7,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,7.561280982396751e-7,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-3.183628737933597e-6,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.2146708022957309e-5,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-4.223704562267977e-5,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.00013451408092849532,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.00039404324272610154,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0010657657791434353,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.002670436282807066,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0062176026593266705,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.01348929373119186,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.027340133868077935,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.051893895928921435,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.09246098107292373,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.1550019040032606,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.2450608330229457,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.36629400670329104,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.5189580031896518,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.6988834276200057,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.8974218269914305,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.8974218269914305,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.6988834276200057,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.5189580031896518,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.36629400670329104,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.2450608330229457,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.1550019040032606,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.09246098107292373,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.051893895928921435,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.027340133868077935,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.01348929373119186,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0062176026593266705,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.002670436282807066,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0010657657791434353,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.00039404324272610154,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.00013451408092849532,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-4.223704562267977e-5,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.2146708022957309e-5,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-3.183628737933597e-6,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,7.561280982396751e-7,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-1.6163814566157175e-7,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,3.085035609438902e-8,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-5.205691473372798e-9,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,7.671918274276823e-10,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-9.722961671898567e-11,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.0382663478969434e-11,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-9.084503982403902e-13,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,6.253851603243987e-14,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-3.1762786845135338e-15,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,1.0581813203458523e-16,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-1.734723475976807e-18,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,-0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
0.0,0.0,69,1.0e-14,30
